year,allblackpop,geoid,namelsad,tractpop,tractce,community_area,weight,comm_pop,pop_share,community,commarea_km2
2020,4769,17031510300,Census Tract 5103,4805,510300,51,1.0,15144,0.317287375,SOUTH DEERING,303.7970596
2020,134,17031520100,Census Tract 5201,2219,520100,52,1.0,22999,0.096482456,EAST SIDE,83.24172803
2020,56,17031590700,Census Tract 5907,3064,590700,59,1.0,15246,0.200970746,MCKINLEY PARK,39.43179964
2020,234,17031600400,Census Tract 6004,3736,600400,60,1.0,32901,0.11355278,BRIDGEPORT,58.29151927
2020,1199,17031830600,Census Tract 8306,4923,830600,1,1.0,55643,0.088474741,ROGERS PARK,51.25990244
2020,59,17031830800,Census Tract 8308,2638,830800,4,1.0,41350,0.063796856,LINCOLN SQUARE,71.35232823
2020,1573,17031830700,Census Tract 8307,4148,830700,3,1.0,59453,0.069769398,UPTOWN,65.09564272
2020,82,17031830900,Census Tract 8309,2754,830900,22,1.0,71247,0.038654259,LOGAN SQUARE,100.0575667
2020,176,17031835200,Census Tract 8352,1922,835200,56,1.0,36049,0.053316319,GARFIELD RIDGE,117.8907784
2020,167,17031839900,Census Tract 8399,4471,839900,60,1.0,32901,0.135892526,BRIDGEPORT,58.29151927
2020,56,17031839700,Census Tract 8397,4752,839700,60,1.0,32901,0.1444333,BRIDGEPORT,58.29151927
2020,87,17031839800,Census Tract 8398,2667,839800,60,1.0,32901,0.081061366,BRIDGEPORT,58.29151927
2020,1551,17031834800,Census Tract 8348,1692,834800,68,1.0,22019,0.076842727,ENGLEWOOD,85.65232307
2020,1110,17031834700,Census Tract 8347,1130,834700,68,1.0,22019,0.051319315,ENGLEWOOD,85.65232307
2020,124,17031832000,Census Tract 8320,1698,832000,6,1.0,101428,0.016740939,LAKE VIEW,87.21479926
2020,171,17031832500,Census Tract 8325,3192,832500,7,1.0,69568,0.045883165,LINCOLN PARK,88.31640046
2020,103,17031832300,Census Tract 8323,1950,832300,22,1.0,71247,0.027369573,LOGAN SQUARE,100.0575667
2020,516,17031838300,Census Tract 8383,1869,838300,8,1.0,95405,0.019590168,NEAR NORTH SIDE,76.67589596
2020,101,17031831800,Census Tract 8318,6252,831800,13,1.0,18806,0.332447091,NORTH PARK,70.28870642
2020,39,17031831700,Census Tract 8317,2238,831700,15,1.0,63919,0.035013063,PORTAGE PARK,110.1960971
2020,977,17031835100,Census Tract 8351,4903,835100,63,1.0,35300,0.138895184,GAGE PARK,61.2848961
2020,2353,17031835000,Census Tract 8350,5496,835000,66,1.0,51243,0.107253674,CHICAGO LAWN,98.2794651
2020,101,17031843700,Census Tract 8437,2376,843700,5,1.0,36142,0.06574069,NORTH CENTER,57.05416784
2020,121,17031220702,Census Tract 2207.02,4155,220702,22,1.0,71247,0.058318245,LOGAN SQUARE,100.0575667
2020,4190,17031842100,Census Tract 8421,7608,842100,23,1.0,54401,0.13985037,HUMBOLDT PARK,100.4808765
2020,1168,17031843300,Census Tract 8433,1713,843300,29,1.0,31310,0.054710955,NORTH LAWNDALE,89.48742201
2020,183,17031831100,Census Tract 8311,7780,831100,21,1.0,37360,0.208244111,AVONDALE,55.29059546
2020,382,17031831500,Census Tract 8315,3838,831500,19,1.0,78788,0.048713002,BELMONT CRAGIN,109.0994147
2020,673,17031831600,Census Tract 8316,8052,831600,18,1.0,14382,0.5598665,MONTCLARE,27.57639363
2020,354,17031831200,Census Tract 8312,4810,831200,20,1.0,23163,0.207658766,HERMOSA,32.6020594
2020,12,17031831000,Census Tract 8310,1058,831000,22,0.5,71247,0.014849748,LOGAN SQUARE,100.0575667
2020,12,17031831000,Census Tract 8310,1058,831000,24,0.5,84564,0.012511234,WEST TOWN,127.5629046
2020,2320,17031843000,Census Tract 8430,2494,843000,29,1.0,31310,0.079655062,NORTH LAWNDALE,89.48742201
2020,948,17031843100,Census Tract 8431,1449,843100,29,1.0,31310,0.046279144,NORTH LAWNDALE,89.48742201
2020,1703,17031842900,Census Tract 8429,2711,842900,28,1.0,62816,0.043157794,NEAR WEST SIDE,158.4924665
2020,6940,17031843500,Census Tract 8435,10673,843500,30,1.0,70235,0.151961273,SOUTH LAWNDALE,127.9982978
2020,1113,17031842000,Census Tract 8420,3145,842000,35,1.0,21450,0.146620047,DOUGLAS,46.00462115
2020,222,17031832400,Census Tract 8324,3206,832400,22,1.0,71247,0.044998386,LOGAN SQUARE,100.0575667
2020,55,17031832900,Census Tract 8329,1926,832900,28,1.0,62816,0.030660978,NEAR WEST SIDE,158.4924665
2020,95,17031840300,Census Tract 8403,3618,840300,59,1.0,15246,0.237308146,MCKINLEY PARK,39.43179964
2020,1545,17031838600,Census Tract 8386,1735,838600,29,1.0,31310,0.055413606,NORTH LAWNDALE,89.48742201
2020,1447,17031839600,Census Tract 8396,1688,839600,35,1.0,21450,0.078694639,DOUGLAS,46.00462115
2020,1334,17031834900,Census Tract 8349,1348,834900,67,1.0,26158,0.051532992,WEST ENGLEWOOD,87.94769193
2020,582,17031030603,Census Tract 306.03,2355,30603,77,1.0,58693,0.040124035,EDGEWATER,48.44999083
2020,42,17031832200,Census Tract 8322,3031,832200,22,1.0,71247,0.042542142,LOGAN SQUARE,100.0575667
2020,1648,17031836700,Census Tract 8367,2337,836700,23,1.0,54401,0.042958769,HUMBOLDT PARK,100.4808765
2020,1962,17031836800,Census Tract 8368,2149,836800,27,1.0,18075,0.118893499,EAST GARFIELD PARK,53.88322084
2020,639,17031836600,Census Tract 8366,2044,836600,23,1.0,54401,0.037572839,HUMBOLDT PARK,100.4808765
2020,549,17031833000,Census Tract 8330,4686,833000,28,1.0,62816,0.074598828,NEAR WEST SIDE,158.4924665
2020,2119,17031842500,Census Tract 8425,2145,842500,69,1.0,29429,0.072887288,GREATER GRAND CROSSING,98.85316769
2020,2388,17031841800,Census Tract 8418,2502,841800,69,1.0,29429,0.085018179,GREATER GRAND CROSSING,98.85316769
2020,0,17031980100,Census Tract 9801,0,980100,56,0.5,36049,0.0,GARFIELD RIDGE,117.8907784
2020,0,17031980100,Census Tract 9801,0,980100,64,0.5,24382,0.0,CLEARING,71.14519237
2020,48,17031842800,Census Tract 8428,6916,842800,58,1.0,42728,0.161861075,BRIGHTON PARK,75.8927903
2020,926,17031843800,Census Tract 8438,1475,843800,61,1.0,39055,0.037767251,NEW CITY,134.6369632
2020,409,17031841000,Census Tract 8410,1025,841000,33,1.0,26376,0.038861086,NEAR SOUTH SIDE,49.76963944
2020,1573,17031836500,Census Tract 8365,1791,836500,36,1.0,6973,0.256847842,OAKLAND,16.91396104
2020,1539,17031843900,Census Tract 8439,1717,843900,42,0.5,23251,0.073846286,WOODLAWN,57.8151795
2020,1539,17031843900,Census Tract 8439,1717,843900,43,0.5,51992,0.033024311,SOUTH SHORE,81.81271638
2020,4662,17031834200,Census Tract 8342,4674,834200,43,1.0,51992,0.089898446,SOUTH SHORE,81.81271638
2020,533,17031842200,Census Tract 8422,3619,842200,8,1.0,95405,0.037933022,NEAR NORTH SIDE,76.67589596
2020,1446,17031838000,Census Tract 8380,2201,838000,28,1.0,62816,0.035038844,NEAR WEST SIDE,158.4924665
2020,1815,17031010702,Census Tract 107.02,5209,10702,1,1.0,55643,0.093614651,ROGERS PARK,51.25990244
2020,280,17031010503,Census Tract 105.03,1973,10503,1,1.0,55643,0.035458189,ROGERS PARK,51.25990244
2020,831,17031010502,Census Tract 105.02,2960,10502,1,1.0,55643,0.053196269,ROGERS PARK,51.25990244
2020,826,17031010701,Census Tract 107.01,3562,10701,1,1.0,55643,0.06401524,ROGERS PARK,51.25990244
2020,800,17031020902,Census Tract 209.02,4445,20902,2,1.0,78763,0.056435128,WEST RIDGE,98.42909484
2020,320,17031020302,Census Tract 203.02,5116,20302,2,1.0,78763,0.064954357,WEST RIDGE,98.42909484
2020,427,17031020601,Census Tract 206.01,6112,20601,2,1.0,78763,0.077599888,WEST RIDGE,98.42909484
2020,211,17031020301,Census Tract 203.01,5447,20301,2,1.0,78763,0.069156838,WEST RIDGE,98.42909484
2020,728,17031760803,Census Tract 7608.03,5930,760803,76,1.0,13285,0.446368084,OHARE,371.8356076
2020,4906,17031530501,Census Tract 5305.01,5073,530501,53,1.0,26484,0.191549615,WEST PULLMAN,99.36519806
2020,5070,17031530503,Census Tract 5305.03,5192,530503,53,1.0,26484,0.196042894,WEST PULLMAN,99.36519806
2020,158,17031650301,Census Tract 6503.01,4527,650301,65,1.0,32162,0.140756172,WEST LAWN,82.31530167
2020,0,17031650302,Census Tract 6503.02,4766,650302,65,1.0,32162,0.148187302,WEST LAWN,82.31530167
2020,1602,17031530502,Census Tract 5305.02,1609,530502,53,1.0,26484,0.060753663,WEST PULLMAN,99.36519806
2020,384,17031831300,Census Tract 8313,908,831300,25,1.0,95073,0.009550556,AUSTIN,199.2542034
2020,1639,17031831400,Census Tract 8314,2820,831400,25,1.0,95073,0.029661418,AUSTIN,199.2542034
2020,1363,17031837000,Census Tract 8370,1672,837000,27,1.0,18075,0.092503458,EAST GARFIELD PARK,53.88322084
2020,3005,17031842400,Census Tract 8424,3098,842400,44,1.0,31363,0.098778816,CHATHAM,82.3206703
2020,1299,17031832100,Census Tract 8321,3590,832100,6,1.0,101428,0.035394566,LAKE VIEW,87.21479926
2020,678,17031020802,Census Tract 208.02,8536,20802,2,1.0,78763,0.10837576,WEST RIDGE,98.42909484
2020,617,17031020702,Census Tract 207.02,8674,20702,2,1.0,78763,0.110127852,WEST RIDGE,98.42909484
2020,680,17031020801,Census Tract 208.01,5859,20801,2,1.0,78763,0.07438772,WEST RIDGE,98.42909484
2020,346,17031040202,Census Tract 402.02,7427,40202,4,1.0,41350,0.179613059,LINCOLN SQUARE,71.35232823
2020,371,17031040201,Census Tract 402.01,6875,40201,4,1.0,41350,0.166263603,LINCOLN SQUARE,71.35232823
2020,129,17031040402,Census Tract 404.02,4796,40402,4,1.0,41350,0.11598549,LINCOLN SQUARE,71.35232823
2020,1632,17031031501,Census Tract 315.01,4794,31501,3,1.0,59453,0.080635124,UPTOWN,65.09564272
2020,137,17031081201,Census Tract 812.01,4688,81201,8,1.0,95405,0.049137886,NEAR NORTH SIDE,76.67589596
2020,307,17031063301,Census Tract 633.01,2925,63301,6,1.0,101428,0.028838191,LAKE VIEW,87.21479926
2020,2927,17031490901,Census Tract 4909.01,2928,490901,49,1.0,39623,0.073896474,ROSELAND,134.3137067
2020,4520,17031490902,Census Tract 4909.02,4565,490902,49,1.0,39623,0.115210862,ROSELAND,134.3137067
2020,48,17031301801,Census Tract 3018.01,4437,301801,30,1.0,70235,0.063173631,SOUTH LAWNDALE,127.9982978
2020,403,17031700301,Census Tract 7003.01,6359,700301,70,1.0,42902,0.148221528,ASHBURN,135.4603372
2020,0,17031301702,Census Tract 3017.02,3961,301702,30,1.0,70235,0.056396384,SOUTH LAWNDALE,127.9982978
2020,3601,17031700401,Census Tract 7004.01,6455,700401,70,1.0,42902,0.150459186,ASHBURN,135.4603372
2020,989,17031837100,Census Tract 8371,1349,837100,27,1.0,18075,0.074633472,EAST GARFIELD PARK,53.88322084
2020,1884,17031837400,Census Tract 8374,2199,837400,27,1.0,18075,0.121659751,EAST GARFIELD PARK,53.88322084
2020,1513,17031837800,Census Tract 8378,2409,837800,28,1.0,62816,0.038350102,NEAR WEST SIDE,158.4924665
