year,community_area,comm_pop,community,commarea_km2,other1,property1,public_order1,violent1,malepop,male15_19pop,male15_24pop,male15_29pop,allwhitepop,allblackpop
2020,1,55643.0,ROGERS PARK,51.25990244057384,180,1947,179,1002,27209,1249,3543,6025,32251,16541
2020,2,78763.0,WEST RIDGE,98.4290948429624,165,1919,161,866,39092,2638,4753,8354,46673,10409
2020,3,59453.0,UPTOWN,65.09564271609112,131,1814,169,851,30022,817,2711,6786,39561,11545
2020,4,41350.0,LINCOLN SQUARE,71.35232822594875,72,1313,78,431,19735,590,1305,3198,33637,2066
2020,5,36142.0,NORTH CENTER,57.05416783863191,59,850,61,191,17723,627,1184,2530,32244,1445
2020,6,101428.0,LAKE VIEW,87.21479925558447,189,3185,178,762,52424,758,6414,17032,87805,5531
2020,7,69568.0,LINCOLN PARK,88.31640045539218,108,2253,102,411,34793,2012,5993,12152,60386,3263
2020,8,95405.0,NEAR NORTH SIDE,76.67589595801923,271,4973,592,1486,46108,858,4545,13631,72782,7576
2020,9,11002.0,EDISON PARK,31.63631378020181,18,185,13,52,5308,189,329,668,10505,143
2020,10,38088.0,NORWOOD PARK,121.95910544621267,77,722,37,202,18342,793,1546,2915,34610,474
2020,11,27194.0,JEFFERSON PARK,64.86816166921948,78,626,42,255,13351,712,1437,2616,20736,1286
2020,12,19928.0,FOREST GLEN,89.13089361873274,30,387,28,112,9667,323,595,1041,16813,274
2020,13,18806.0,NORTH PARK,70.28870642060181,41,513,34,193,8678,581,1190,1909,12589,548
2020,14,49280.0,ALBANY PARK,53.54223080864773,95,1176,171,589,24943,1661,3483,5615,30111,3614
2020,15,63919.0,PORTAGE PARK,110.19609711747748,189,1489,149,792,30988,1962,3994,5870,47428,1955
2020,16,53604.0,IRVING PARK,89.61138229311392,143,1330,117,623,26282,1110,2683,4878,40430,2352
2020,17,43587.0,DUNNING,103.5950011545707,117,818,67,375,21477,1315,2212,3481,35716,1716
2020,18,14382.0,MONTCLARE,27.57639362717424,41,316,40,167,6709,464,890,1421,9739,853
2020,19,78788.0,BELMONT CRAGIN,109.09941466771691,305,1816,410,1263,39202,3125,5729,8658,47045,3742
2020,20,23163.0,HERMOSA,32.60205939915233,97,597,116,385,11806,909,1812,2548,12723,1584
2020,21,37360.0,AVONDALE,55.29059546222403,104,1143,107,476,18372,1007,2297,4566,28235,2169
2020,22,71247.0,LOGAN SQUARE,100.05756668057336,178,2451,252,874,35397,1341,3315,9631,59470,5273
2020,23,54401.0,HUMBOLDT PARK,100.48087648273764,341,2716,1561,2038,25875,1978,4030,6235,19257,19699
2020,24,84564.0,WEST TOWN,127.56290457232984,215,3769,235,1074,42810,793,2987,11810,69276,6850
2020,25,95073.0,AUSTIN,199.25420338818205,762,5684,1575,4784,44355,3080,6524,9867,13259,73820
2020,26,16489.0,WEST GARFIELD PARK,36.09284880796031,202,1793,1460,1542,8373,531,1120,1725,856,15487
2020,27,18075.0,EAST GARFIELD PARK,53.88322083574582,193,1526,759,1275,7887,477,1203,1949,1656,15956
2020,28,62816.0,NEAR WEST SIDE,158.49246652347665,333,4093,451,1653,30626,1886,5352,9720,33639,16297
2020,29,31310.0,NORTH LAWNDALE,89.48742200680012,419,2709,1478,2632,13992,1204,2794,4114,3161,26520
2020,30,70235.0,SOUTH LAWNDALE,127.99829784190968,247,1518,496,1331,40542,2783,7046,11379,33737,10274
2020,31,32672.0,LOWER WEST SIDE,81.55072362189355,113,1110,198,628,16519,713,1960,4121,19423,1467
2020,32,39327.0,LOOP,46.3355654497116,157,3437,475,1052,19741,915,2593,7007,26962,3142
2020,33,26376.0,NEAR SOUTH SIDE,49.769639444136615,85,1018,136,388,11672,90,365,1862,14898,6339
2020,34,13401.0,ARMOUR SQUARE,27.766196090094883,31,510,65,243,6154,313,704,1033,2434,1269
2020,35,21450.0,DOUGLAS,46.004621149279,151,1112,204,725,9853,954,2322,3756,3231,14724
