primary_type,crime_group1_prime
arson,violent1
assault,violent1
battery,violent1
burglary,property1
concealed_carry_license_violation,public_order1
crim_sexual_assault,violent1
criminal_damage,property1
criminal_sexual_assault,violent1
criminal_trespass,public_order1
deceptive_practice,property1
gambling,public_order1
homicide,violent1
human_trafficking,other1
interference_with_public_officer,public_order1
intimidation,violent1
kidnapping,violent1
liquor_law_violation,public_order1
motor_vehicle_theft,property1
narcotics,public_order1
obscenity,public_order1
offense_involving_children,violent1
other_narcotic_violation,public_order1
other_offense,other1
prostitution,public_order1
public_indecency,public_order1
public_peace_violation,public_order1
ritualism,other1
robbery,property1
sex_offense,violent1
stalking,violent1
theft,property1
weapons_violation,public_order1
