year,community_area,comm_pop,community,commarea_km2
2020,1,55643.0,ROGERS PARK,51.25990244057384
2020,2,78763.0,WEST RIDGE,98.4290948429624
2020,3,59453.0,UPTOWN,65.09564271609112
2020,4,41350.0,LINCOLN SQUARE,71.35232822594875
2020,5,36142.0,NORTH CENTER,57.05416783863191
2020,6,101428.0,LAKE VIEW,87.21479925558447
2020,7,69568.0,LINCOLN PARK,88.31640045539218
2020,8,95405.0,NEAR NORTH SIDE,76.67589595801923
2020,9,11002.0,EDISON PARK,31.63631378020181
2020,10,38088.0,NORWOOD PARK,121.95910544621267
2020,11,27194.0,JEFFERSON PARK,64.86816166921948
2020,12,19928.0,FOREST GLEN,89.13089361873274
2020,13,18806.0,NORTH PARK,70.28870642060181
2020,14,49280.0,ALBANY PARK,53.54223080864773
2020,15,63919.0,PORTAGE PARK,110.19609711747748
2020,16,53604.0,IRVING PARK,89.61138229311392
2020,17,43587.0,DUNNING,103.5950011545707
2020,18,14382.0,MONTCLARE,27.57639362717424
2020,19,78788.0,BELMONT CRAGIN,109.09941466771691
2020,20,23163.0,HERMOSA,32.60205939915233
2020,21,37360.0,AVONDALE,55.29059546222403
2020,22,71247.0,LOGAN SQUARE,100.05756668057336
2020,23,54401.0,HUMBOLDT PARK,100.48087648273764
2020,24,84564.0,WEST TOWN,127.56290457232984
2020,25,95073.0,AUSTIN,199.25420338818205
2020,26,16489.0,WEST GARFIELD PARK,36.09284880796031
2020,27,18075.0,EAST GARFIELD PARK,53.88322083574582
2020,28,62816.0,NEAR WEST SIDE,158.49246652347665
2020,29,31310.0,NORTH LAWNDALE,89.48742200680012
2020,30,70235.0,SOUTH LAWNDALE,127.99829784190968
2020,31,32672.0,LOWER WEST SIDE,81.55072362189355
2020,32,39327.0,LOOP,46.3355654497116
2020,33,26376.0,NEAR SOUTH SIDE,49.769639444136615
2020,34,13401.0,ARMOUR SQUARE,27.766196090094883
2020,35,21450.0,DOUGLAS,46.004621149279
2020,36,6973.0,OAKLAND,16.913961037490527
2020,37,2149.0,FULLER PARK,19.916704865338488
2020,38,23669.0,GRAND BOULEVARD,48.49250314605212
2020,39,17972.0,KENWOOD,29.071741922715727
2020,40,10427.0,WASHINGTON PARK,42.37388147613499
2020,41,27722.0,HYDE PARK,45.10538016450888
2020,42,23251.0,WOODLAWN,57.81517950095547
2020,43,51992.0,SOUTH SHORE,81.81271638009841
2020,44,31363.0,CHATHAM,82.32067029535114
2020,45,9629.0,AVALON PARK,34.852737729948345
2020,46,29977.0,SOUTH CHICAGO,93.2721849914544
2020,47,2180.0,BURNSIDE,16.995983270423185
2020,48,12343.0,CALUMET HEIGHTS,48.82624155505823
2020,49,39623.0,ROSELAND,134.31370670490057
2020,50,7131.0,PULLMAN,59.00155559069487
2020,51,15144.0,SOUTH DEERING,303.79705960132867
2020,52,22999.0,EAST SIDE,83.24172803329057
2020,53,26484.0,WEST PULLMAN,99.36519806341394
2020,54,7414.0,RIVERDALE,98.38949739579031
2020,55,9175.0,HEGEWISCH,145.96574140897752
2020,56,36049.0,GARFIELD RIDGE,117.89077840626808
2020,57,13533.0,ARCHER HEIGHTS,55.92250571042751
2020,58,42728.0,BRIGHTON PARK,75.89279029683405
2020,59,15246.0,MCKINLEY PARK,39.431799640295466
2020,60,32901.0,BRIDGEPORT,58.29151926539481
2020,61,39055.0,NEW CITY,134.6369632279751
2020,62,18523.0,WEST ELSDON,32.71109141959873
2020,63,35300.0,GAGE PARK,61.28489610145672
2020,64,24382.0,CLEARING,71.14519236904174
2020,65,32162.0,WEST LAWN,82.3153016672832
2020,66,51243.0,CHICAGO LAWN,98.27946509626284
2020,67,26158.0,WEST ENGLEWOOD,87.94769193108257
2020,68,22019.0,ENGLEWOOD,85.65232306609218
2020,69,29429.0,GREATER GRAND CROSSING,98.85316769023828
2020,70,42902.0,ASHBURN,135.46033718240324
2020,71,46698.0,AUBURN GRESHAM,105.06535358129682
2020,72,19817.0,BEVERLY,88.7793639211539
2020,73,26940.0,WASHINGTON HEIGHTS,79.63575286171745
2020,74,18840.0,MOUNT GREENWOOD,75.58429000631087
2020,75,20526.0,MORGAN PARK,91.877340681314
2020,76,13285.0,OHARE,371.8356076134321
2020,77,58693.0,EDGEWATER,48.449990830225794
2021,1,55789.0,ROGERS PARK,51.25990244057384
2021,2,79897.0,WEST RIDGE,98.4290948429624
2021,3,59119.0,UPTOWN,65.09564271609112
2021,4,42338.0,LINCOLN SQUARE,71.35232822594875
2021,5,37094.0,NORTH CENTER,57.05416783863191
2021,6,102611.0,LAKE VIEW,87.21479925558447
2021,7,69641.0,LINCOLN PARK,88.31640045539218
2021,8,98505.0,NEAR NORTH SIDE,76.67589595801923
2021,9,11494.0,EDISON PARK,31.63631378020181
2021,10,39235.0,NORWOOD PARK,121.95910544621267
2021,11,27172.0,JEFFERSON PARK,64.86816166921948
2021,12,20311.0,FOREST GLEN,89.13089361873274
2021,13,18847.0,NORTH PARK,70.28870642060181
2021,14,48647.0,ALBANY PARK,53.54223080864773
2021,15,65563.0,PORTAGE PARK,110.19609711747748
2021,16,54280.0,IRVING PARK,89.61138229311392
2021,17,44277.0,DUNNING,103.5950011545707
2021,18,13776.0,MONTCLARE,27.57639362717424
2021,19,78610.0,BELMONT CRAGIN,109.09941466771691
2021,20,23201.0,HERMOSA,32.60205939915233
2021,21,36820.0,AVONDALE,55.29059546222403
2021,22,71408.0,LOGAN SQUARE,100.05756668057336
2021,23,55785.0,HUMBOLDT PARK,100.48087648273764
2021,24,86881.0,WEST TOWN,127.56290457232984
2021,25,97313.0,AUSTIN,199.25420338818205
2021,26,17289.0,WEST GARFIELD PARK,36.09284880796031
2021,27,19908.0,EAST GARFIELD PARK,53.88322083574582
2021,28,65019.0,NEAR WEST SIDE,158.49246652347665
2021,29,32106.0,NORTH LAWNDALE,89.48742200680012
2021,30,70281.0,SOUTH LAWNDALE,127.99829784190968
2021,31,33588.0,LOWER WEST SIDE,81.55072362189355
2021,32,39834.0,LOOP,46.3355654497116
2021,33,26816.0,NEAR SOUTH SIDE,49.769639444136615
2021,34,13284.0,ARMOUR SQUARE,27.766196090094883
2021,35,21278.0,DOUGLAS,46.004621149279
2021,36,7413.0,OAKLAND,16.913961037490527
2021,37,2213.0,FULLER PARK,19.916704865338488
2021,38,24401.0,GRAND BOULEVARD,48.49250314605212
2021,39,18492.0,KENWOOD,29.071741922715727
2021,40,11607.0,WASHINGTON PARK,42.37388147613499
2021,41,28801.0,HYDE PARK,45.10538016450888
2021,42,23966.0,WOODLAWN,57.81517950095547
2021,43,54209.0,SOUTH SHORE,81.81271638009841
2021,44,32486.0,CHATHAM,82.32067029535114
2021,45,9782.0,AVALON PARK,34.852737729948345
2021,46,30399.0,SOUTH CHICAGO,93.2721849914544
2021,47,2652.0,BURNSIDE,16.995983270423185
2021,48,12843.0,CALUMET HEIGHTS,48.82624155505823
2021,49,39128.0,ROSELAND,134.31370670490057
2021,50,7147.0,PULLMAN,59.00155559069487
2021,51,15198.0,SOUTH DEERING,303.79705960132867
2021,52,24429.0,EAST SIDE,83.24172803329057
2021,53,26951.0,WEST PULLMAN,99.36519806341394
2021,54,7934.0,RIVERDALE,98.38949739579031
2021,55,9243.0,HEGEWISCH,145.96574140897752
2021,56,36704.0,GARFIELD RIDGE,117.89077840626808
2021,57,13591.0,ARCHER HEIGHTS,55.92250571042751
2021,58,43197.0,BRIGHTON PARK,75.89279029683405
2021,59,15558.0,MCKINLEY PARK,39.431799640295466
2021,60,34427.0,BRIDGEPORT,58.29151926539481
2021,61,39573.0,NEW CITY,134.6369632279751
2021,62,18022.0,WEST ELSDON,32.71109141959873
2021,63,35621.0,GAGE PARK,61.28489610145672
2021,64,25507.0,CLEARING,71.14519236904174
2021,65,32398.0,WEST LAWN,82.3153016672832
2021,66,51169.0,CHICAGO LAWN,98.27946509626284
2021,67,26282.0,WEST ENGLEWOOD,87.94769193108257
2021,68,21054.0,ENGLEWOOD,85.65232306609218
2021,69,29309.0,GREATER GRAND CROSSING,98.85316769023828
2021,70,44215.0,ASHBURN,135.46033718240324
2021,71,48039.0,AUBURN GRESHAM,105.06535358129682
2021,72,19919.0,BEVERLY,88.7793639211539
2021,73,26676.0,WASHINGTON HEIGHTS,79.63575286171745
2021,74,19477.0,MOUNT GREENWOOD,75.58429000631087
2021,75,21627.0,MORGAN PARK,91.877340681314
2021,76,13418.0,OHARE,371.8356076134321
2021,77,58084.0,EDGEWATER,48.449990830225794
2022,1,55711.0,ROGERS PARK,51.25990244057384
2022,2,79265.0,WEST RIDGE,98.4290948429624
2022,3,57464.0,UPTOWN,65.09564271609112
2022,4,42271.0,LINCOLN SQUARE,71.35232822594875
2022,5,35814.0,NORTH CENTER,57.05416783863191
2022,6,101739.0,LAKE VIEW,87.21479925558447
2022,7,69099.0,LINCOLN PARK,88.31640045539218
2022,8,101208.0,NEAR NORTH SIDE,76.67589595801923
2022,9,11402.0,EDISON PARK,31.63631378020181
2022,10,39326.0,NORWOOD PARK,121.95910544621267
2022,11,27032.0,JEFFERSON PARK,64.86816166921948
2022,12,19855.0,FOREST GLEN,89.13089361873274
2022,13,19398.0,NORTH PARK,70.28870642060181
2022,14,47663.0,ALBANY PARK,53.54223080864773
2022,15,64213.0,PORTAGE PARK,110.19609711747748
2022,16,53584.0,IRVING PARK,89.61138229311392
2022,17,42574.0,DUNNING,103.5950011545707
2022,18,13765.0,MONTCLARE,27.57639362717424
2022,19,73991.0,BELMONT CRAGIN,109.09941466771691
2022,20,23157.0,HERMOSA,32.60205939915233
2022,21,36374.0,AVONDALE,55.29059546222403
2022,22,71220.0,LOGAN SQUARE,100.05756668057336
2022,23,55416.0,HUMBOLDT PARK,100.48087648273764
2022,24,86514.0,WEST TOWN,127.56290457232984
2022,25,100120.0,AUSTIN,199.25420338818205
2022,26,16374.0,WEST GARFIELD PARK,36.09284880796031
2022,27,19901.0,EAST GARFIELD PARK,53.88322083574582
2022,28,65581.0,NEAR WEST SIDE,158.49246652347665
2022,29,30409.0,NORTH LAWNDALE,89.48742200680012
2022,30,69708.0,SOUTH LAWNDALE,127.99829784190968
2022,31,34237.0,LOWER WEST SIDE,81.55072362189355
2022,32,41671.0,LOOP,46.3355654497116
2022,33,28216.0,NEAR SOUTH SIDE,49.769639444136615
2022,34,13193.0,ARMOUR SQUARE,27.766196090094883
2022,35,21355.0,DOUGLAS,46.004621149279
2022,36,6977.0,OAKLAND,16.913961037490527
2022,37,2142.0,FULLER PARK,19.916704865338488
2022,38,24813.0,GRAND BOULEVARD,48.49250314605212
2022,39,18637.0,KENWOOD,29.071741922715727
2022,40,12366.0,WASHINGTON PARK,42.37388147613499
2022,41,29559.0,HYDE PARK,45.10538016450888
2022,42,24645.0,WOODLAWN,57.81517950095547
2022,43,54974.0,SOUTH SHORE,81.81271638009841
2022,44,31341.0,CHATHAM,82.32067029535114
2022,45,9647.0,AVALON PARK,34.852737729948345
2022,46,30315.0,SOUTH CHICAGO,93.2721849914544
2022,47,2246.0,BURNSIDE,16.995983270423185
2022,48,12087.0,CALUMET HEIGHTS,48.82624155505823
2022,49,37610.0,ROSELAND,134.31370670490057
2022,50,6856.0,PULLMAN,59.00155559069487
2022,51,15218.0,SOUTH DEERING,303.79705960132867
2022,52,23942.0,EAST SIDE,83.24172803329057
2022,53,25449.0,WEST PULLMAN,99.36519806341394
2022,54,7817.0,RIVERDALE,98.38949739579031
2022,55,9025.0,HEGEWISCH,145.96574140897752
2022,56,36401.0,GARFIELD RIDGE,117.89077840626808
2022,57,13867.0,ARCHER HEIGHTS,55.92250571042751
2022,58,42243.0,BRIGHTON PARK,75.89279029683405
2022,59,15479.0,MCKINLEY PARK,39.431799640295466
2022,60,33221.0,BRIDGEPORT,58.29151926539481
2022,61,41048.0,NEW CITY,134.6369632279751
2022,62,18366.0,WEST ELSDON,32.71109141959873
2022,63,34788.0,GAGE PARK,61.28489610145672
2022,64,24728.0,CLEARING,71.14519236904174
2022,65,32594.0,WEST LAWN,82.3153016672832
2022,66,52464.0,CHICAGO LAWN,98.27946509626284
2022,67,25772.0,WEST ENGLEWOOD,87.94769193108257
2022,68,21378.0,ENGLEWOOD,85.65232306609218
2022,69,28991.0,GREATER GRAND CROSSING,98.85316769023828
2022,70,42745.0,ASHBURN,135.46033718240324
2022,71,46468.0,AUBURN GRESHAM,105.06535358129682
2022,72,19781.0,BEVERLY,88.7793639211539
2022,73,26456.0,WASHINGTON HEIGHTS,79.63575286171745
2022,74,19121.0,MOUNT GREENWOOD,75.58429000631087
2022,75,20718.0,MORGAN PARK,91.877340681314
2022,76,13771.0,OHARE,371.8356076134321
2022,77,56099.0,EDGEWATER,48.449990830225794
2023,1,54388.0,ROGERS PARK,51.25990244057384
2023,2,78227.0,WEST RIDGE,98.4290948429624
2023,3,57331.0,UPTOWN,65.09564271609112
2023,4,41673.0,LINCOLN SQUARE,71.35232822594875
2023,5,35408.0,NORTH CENTER,57.05416783863191
2023,6,101163.0,LAKE VIEW,87.21479925558447
2023,7,67831.0,LINCOLN PARK,88.31640045539218
2023,8,104712.0,NEAR NORTH SIDE,76.67589595801923
2023,9,11203.0,EDISON PARK,31.63631378020181
2023,10,38566.0,NORWOOD PARK,121.95910544621267
2023,11,26643.0,JEFFERSON PARK,64.86816166921948
2023,12,19517.0,FOREST GLEN,89.13089361873274
2023,13,18742.0,NORTH PARK,70.28870642060181
2023,14,46620.0,ALBANY PARK,53.54223080864773
2023,15,61793.0,PORTAGE PARK,110.19609711747748
2023,16,53832.0,IRVING PARK,89.61138229311392
2023,17,41816.0,DUNNING,103.5950011545707
2023,18,14084.0,MONTCLARE,27.57639362717424
2023,19,72918.0,BELMONT CRAGIN,109.09941466771691
2023,20,22776.0,HERMOSA,32.60205939915233
2023,21,35489.0,AVONDALE,55.29059546222403
2023,22,70872.0,LOGAN SQUARE,100.05756668057336
2023,23,55598.0,HUMBOLDT PARK,100.48087648273764
2023,24,86596.0,WEST TOWN,127.56290457232984
2023,25,98882.0,AUSTIN,199.25420338818205
2023,26,15619.0,WEST GARFIELD PARK,36.09284880796031
2023,27,20526.0,EAST GARFIELD PARK,53.88322083574582
2023,28,66084.0,NEAR WEST SIDE,158.49246652347665
2023,29,31244.0,NORTH LAWNDALE,89.48742200680012
2023,30,68798.0,SOUTH LAWNDALE,127.99829784190968
2023,31,33279.0,LOWER WEST SIDE,81.55072362189355
2023,32,42181.0,LOOP,46.3355654497116
2023,33,29174.0,NEAR SOUTH SIDE,49.769639444136615
2023,34,14207.0,ARMOUR SQUARE,27.766196090094883
2023,35,21756.0,DOUGLAS,46.004621149279
2023,36,6946.0,OAKLAND,16.913961037490527
2023,37,2142.0,FULLER PARK,19.916704865338488
2023,38,26345.0,GRAND BOULEVARD,48.49250314605212
2023,39,18138.0,KENWOOD,29.071741922715727
2023,40,13111.0,WASHINGTON PARK,42.37388147613499
2023,41,29591.0,HYDE PARK,45.10538016450888
2023,42,24628.0,WOODLAWN,57.81517950095547
2023,43,53673.0,SOUTH SHORE,81.81271638009841
2023,44,30749.0,CHATHAM,82.32067029535114
2023,45,9481.0,AVALON PARK,34.852737729948345
2023,46,29381.0,SOUTH CHICAGO,93.2721849914544
2023,47,2148.0,BURNSIDE,16.995983270423185
2023,48,11645.0,CALUMET HEIGHTS,48.82624155505823
2023,49,36700.0,ROSELAND,134.31370670490057
2023,50,6741.0,PULLMAN,59.00155559069487
2023,51,14210.0,SOUTH DEERING,303.79705960132867
2023,52,22793.0,EAST SIDE,83.24172803329057
2023,53,24470.0,WEST PULLMAN,99.36519806341394
2023,54,7536.0,RIVERDALE,98.38949739579031
2023,55,8971.0,HEGEWISCH,145.96574140897752
2023,56,36426.0,GARFIELD RIDGE,117.89077840626808
2023,57,14021.0,ARCHER HEIGHTS,55.92250571042751
2023,58,42062.0,BRIGHTON PARK,75.89279029683405
2023,59,15443.0,MCKINLEY PARK,39.431799640295466
2023,60,33123.0,BRIDGEPORT,58.29151926539481
2023,61,41869.0,NEW CITY,134.6369632279751
2023,62,18568.0,WEST ELSDON,32.71109141959873
2023,63,35691.0,GAGE PARK,61.28489610145672
2023,64,24924.0,CLEARING,71.14519236904174
2023,65,32649.0,WEST LAWN,82.3153016672832
2023,66,53460.0,CHICAGO LAWN,98.27946509626284
2023,67,26729.0,WEST ENGLEWOOD,87.94769193108257
2023,68,21411.0,ENGLEWOOD,85.65232306609218
2023,69,29563.0,GREATER GRAND CROSSING,98.85316769023828
2023,70,42079.0,ASHBURN,135.46033718240324
2023,71,45049.0,AUBURN GRESHAM,105.06535358129682
2023,72,19570.0,BEVERLY,88.7793639211539
2023,73,25312.0,WASHINGTON HEIGHTS,79.63575286171745
2023,74,18553.0,MOUNT GREENWOOD,75.58429000631087
2023,75,21318.0,MORGAN PARK,91.877340681314
2023,76,13773.0,OHARE,371.8356076134321
