year,namelsad,tractpop,geoid,tractce,community_area,weight,comm_pop,pop_share,community,commarea_km2
2020,Census Tract 5103,4805.0,17031510300,510300,51,1.0,15144.0,0.3172873745377707,SOUTH DEERING,303.79705960132867
2020,Census Tract 5201,2219.0,17031520100,520100,52,1.0,22999.0,0.096482455758946,EAST SIDE,83.24172803329057
2020,Census Tract 5907,3064.0,17031590700,590700,59,1.0,15246.0,0.2009707464252919,MCKINLEY PARK,39.431799640295466
2020,Census Tract 6004,3736.0,17031600400,600400,60,1.0,32901.0,0.1135527795507735,BRIDGEPORT,58.29151926539481
2020,Census Tract 8306,4923.0,17031830600,830600,1,1.0,55643.0,0.0884747407580468,ROGERS PARK,51.25990244057384
2020,Census Tract 8308,2638.0,17031830800,830800,4,1.0,41350.0,0.0637968561064087,LINCOLN SQUARE,71.35232822594875
2020,Census Tract 8307,4148.0,17031830700,830700,3,1.0,59453.0,0.0697693976754747,UPTOWN,65.09564271609112
2020,Census Tract 8309,2754.0,17031830900,830900,22,1.0,71247.0,0.0386542591267,LOGAN SQUARE,100.05756668057336
2020,Census Tract 8352,1922.0,17031835200,835200,56,1.0,36049.0,0.0533163194540763,GARFIELD RIDGE,117.89077840626808
2020,Census Tract 8399,4471.0,17031839900,839900,60,1.0,32901.0,0.1358925260630376,BRIDGEPORT,58.29151926539481
2020,Census Tract 8397,4752.0,17031839700,839700,60,1.0,32901.0,0.1444332998996991,BRIDGEPORT,58.29151926539481
2020,Census Tract 8398,2667.0,17031839800,839800,60,1.0,32901.0,0.0810613659159296,BRIDGEPORT,58.29151926539481
2020,Census Tract 8348,1692.0,17031834800,834800,68,1.0,22019.0,0.0768427267360007,ENGLEWOOD,85.65232306609218
2020,Census Tract 8347,1130.0,17031834700,834700,68,1.0,22019.0,0.0513193151369271,ENGLEWOOD,85.65232306609218
2020,Census Tract 8320,1698.0,17031832000,832000,6,1.0,101428.0,0.016740939385574,LAKE VIEW,87.21479925558447
2020,Census Tract 8325,3192.0,17031832500,832500,7,1.0,69568.0,0.045883164673413,LINCOLN PARK,88.31640045539218
2020,Census Tract 8323,1950.0,17031832300,832300,22,1.0,71247.0,0.0273695734557244,LOGAN SQUARE,100.05756668057336
2020,Census Tract 8383,1869.0,17031838300,838300,8,1.0,95405.0,0.0195901682301766,NEAR NORTH SIDE,76.67589595801923
2020,Census Tract 8318,6252.0,17031831800,831800,13,1.0,18806.0,0.3324470913538232,NORTH PARK,70.28870642060181
2020,Census Tract 8317,2238.0,17031831700,831700,15,1.0,63919.0,0.0350130634083762,PORTAGE PARK,110.19609711747748
2020,Census Tract 8351,4903.0,17031835100,835100,63,1.0,35300.0,0.1388951841359773,GAGE PARK,61.28489610145672
2020,Census Tract 8350,5496.0,17031835000,835000,66,1.0,51243.0,0.1072536736725016,CHICAGO LAWN,98.27946509626284
2020,Census Tract 8437,2376.0,17031843700,843700,5,1.0,36142.0,0.0657406895025178,NORTH CENTER,57.05416783863191
2020,Census Tract 2207.02,4155.0,17031220702,220702,22,1.0,71247.0,0.0583182449787359,LOGAN SQUARE,100.05756668057336
2020,Census Tract 8421,7608.0,17031842100,842100,23,1.0,54401.0,0.1398503703976029,HUMBOLDT PARK,100.48087648273764
